Year,Vehicle Class,3WN,3WT,TOTAL
2002,E-RICKSHAW(P),1,34,35
2002,THREE WHEELER (GOODS),0,20337,20337
2002,THREE WHEELER (PASSENGER),6910,79455,86365
2002,THREE WHEELER (PERSONAL),7049,0,7049
2003,E-RICKSHAW(P),0,28,28
2003,E-RICKSHAW WITH CART (G),0,1,1
2003,THREE WHEELER (GOODS),0,32224,32224
2003,THREE WHEELER (PASSENGER),6647,85755,92402
2003,THREE WHEELER (PERSONAL),7761,0,7761
2004,E-RICKSHAW(P),0,26,26
2004,E-RICKSHAW WITH CART (G),0,3,3
2004,THREE WHEELER (GOODS),0,45367,45367
2004,THREE WHEELER (PASSENGER),12200,90146,102346
2004,THREE WHEELER (PERSONAL),8659,0,8659
2005,E-RICKSHAW(P),0,33,33
2005,E-RICKSHAW WITH CART (G),0,4,4
2005,THREE WHEELER (GOODS),0,57112,57112
2005,THREE WHEELER (PASSENGER),14750,96695,111445
2005,THREE WHEELER (PERSONAL),9082,0,9082
2006,E-RICKSHAW(P),1,47,48
2006,E-RICKSHAW WITH CART (G),0,2,2
2006,THREE WHEELER (GOODS),0,71719,71719
2006,THREE WHEELER (PASSENGER),18688,125359,144047
2006,THREE WHEELER (PERSONAL),12377,1,12378
2007,E-RICKSHAW(P),0,43,43
2007,E-RICKSHAW WITH CART (G),0,5,5
2007,THREE WHEELER (GOODS),0,69120,69120
2007,THREE WHEELER (PASSENGER),24191,140652,164843
2007,THREE WHEELER (PERSONAL),12206,0,12206
2008,E-RICKSHAW(P),0,49,49
2008,E-RICKSHAW WITH CART (G),0,11,11
2008,THREE WHEELER (GOODS),0,54831,54831
2008,THREE WHEELER (PASSENGER),35307,148036,183343
2008,THREE WHEELER (PERSONAL),14245,0,14245
2009,E-RICKSHAW(P),0,63,63
2009,E-RICKSHAW WITH CART (G),0,4,4
2009,THREE WHEELER (GOODS),0,49217,49217
2009,THREE WHEELER (PASSENGER),32087,207479,239566
2009,THREE WHEELER (PERSONAL),15689,0,15689
2010,E-RICKSHAW(P),0,67,67
2010,E-RICKSHAW WITH CART (G),0,4,4
2010,THREE WHEELER (GOODS),0,62001,62001
2010,THREE WHEELER (PASSENGER),38586,290375,328961
2010,THREE WHEELER (PERSONAL),16546,1,16547
2011,E-RICKSHAW(P),0,41,41
2011,E-RICKSHAW WITH CART (G),0,4,4
2011,THREE WHEELER (GOODS),0,76665,76665
2011,THREE WHEELER (PASSENGER),32045,316327,348372
2011,THREE WHEELER (PERSONAL),16574,0,16574
2012,E-RICKSHAW(P),0,43,43
2012,E-RICKSHAW WITH CART (G),0,4,4
2012,THREE WHEELER (GOODS),0,74702,74702
2012,THREE WHEELER (PASSENGER),25430,355604,381034
2012,THREE WHEELER (PERSONAL),15196,0,15196
2013,E-RICKSHAW(P),0,41,41
2013,THREE WHEELER (GOODS),0,71374,71374
2013,THREE WHEELER (PASSENGER),22506,341499,364005
2013,THREE WHEELER (PERSONAL),8742,0,8742
2014,E-RICKSHAW(P),0,92,92
2014,E-RICKSHAW WITH CART (G),0,2,2
2014,THREE WHEELER (GOODS),0,78058,78058
2014,THREE WHEELER (PASSENGER),24587,367577,392164
2014,THREE WHEELER (PERSONAL),6218,0,6218
2015,E-RICKSHAW(P),0,5140,5140
2015,E-RICKSHAW WITH CART (G),0,9,9
2015,THREE WHEELER (GOODS),0,77348,77348
2015,THREE WHEELER (PASSENGER),22862,346816,369678
2015,THREE WHEELER (PERSONAL),4364,0,4364
2016,E-RICKSHAW(P),9,46324,46333
2016,E-RICKSHAW WITH CART (G),0,186,186
2016,THREE WHEELER (GOODS),0,83500,83500
2016,THREE WHEELER (PASSENGER),24057,392607,416664
2016,THREE WHEELER (PERSONAL),2296,0,2296
2017,E-RICKSHAW(P),2,82907,82909
2017,E-RICKSHAW WITH CART (G),0,1141,1141
2017,THREE WHEELER (GOODS),0,93780,93780
2017,THREE WHEELER (PASSENGER),15986,374638,390624
2017,THREE WHEELER (PERSONAL),2140,0,2140
2018,E-RICKSHAW(P),4,107736,107740
2018,E-RICKSHAW WITH CART (G),0,2519,2519
2018,THREE WHEELER (GOODS),0,110743,110743
2018,THREE WHEELER (PASSENGER),16885,531292,548177
2018,THREE WHEELER (PERSONAL),1982,0,1982
2019,E-RICKSHAW(P),1,127790,127791
2019,E-RICKSHAW WITH CART (G),0,4510,4510
2019,THREE WHEELER (GOODS),0,116091,116091
2019,THREE WHEELER (PASSENGER),17512,505390,522902
2019,THREE WHEELER (PERSONAL),1670,0,1670
2020,E-RICKSHAW(P),0,82832,82832
2020,E-RICKSHAW WITH CART (G),0,5633,5633
2020,THREE WHEELER (GOODS),0,83294,83294
2020,THREE WHEELER (PASSENGER),7853,226328,234181
2020,THREE WHEELER (PERSONAL),659,0,659
2021,E-RICKSHAW(P),0,136089,136089
2021,E-RICKSHAW WITH CART (G),0,13994,13994
2021,THREE WHEELER (GOODS),0,79435,79435
2021,THREE WHEELER (PASSENGER),5412,162435,167847
2021,THREE WHEELER (PERSONAL),553,0,553
2022,E-RICKSHAW(P),1,305038,305039
2022,E-RICKSHAW WITH CART (G),0,20486,20486
2022,THREE WHEELER (GOODS),0,89791,89791
2022,THREE WHEELER (PASSENGER),13145,254858,268003
2022,THREE WHEELER (PERSONAL),670,0,670
2023,E-RICKSHAW(P),25,474168,474193
2023,E-RICKSHAW WITH CART (G),0,34896,34896
2023,THREE WHEELER (GOODS),0,114520,114520
2023,THREE WHEELER (PASSENGER),6313,474605,480918
2023,THREE WHEELER (PERSONAL),923,0,923
2024,E-RICKSHAW(P),0,481763,481763
2024,E-RICKSHAW WITH CART (G),0,58936,58936
2024,THREE WHEELER (GOODS),0,124979,124979
2024,THREE WHEELER (PASSENGER),0,555195,555195
2024,THREE WHEELER (PERSONAL),976,0,976
2025,E-RICKSHAW(P),0,272034,272034
2025,E-RICKSHAW WITH CART (G),0,50277,50277
2025,THREE WHEELER (GOODS),0,76584,76584
2025,THREE WHEELER (PASSENGER),0,344022,344022
2025,THREE WHEELER (PERSONAL),735,0,735
Till date,E-RICKSHAW(P),339,2122521,2122860
Till date,E-RICKSHAW WITH CART (G),0,192649,192649
Till date,THREE WHEELER (GOODS),0,1923677,1923677
Till date,THREE WHEELER (PASSENGER),443282,7680276,8123558
Till date,THREE WHEELER (PERSONAL),228525,2,228527
